congestion_bucket,observations,wins,rounds,mean_miners,median_miners,mean_miner_share,mean_percentile,win_rate,lift_vs_uniform,win_rate_ci95_lower,win_rate_ci95_upper
q3,2229,95,437,138.44593988335578,139.0,0.03999428611055783,0.5087842081650964,0.04262000897263347,1.0655002243158367,0.034991496109314686,0.05182230701805745
q1_least,2070,75,437,133.3840579710145,134.0,0.03849808596997378,0.11766183574879227,0.036231884057971016,0.9057971014492754,0.029002672342743705,0.04517920793858564
q4,2199,104,436,140.2032742155525,141.0,0.040516291424221716,0.7070850386539337,0.04729422464756708,1.182355616189177,0.039184389198002004,0.056982975898760294
q5_most,2285,89,437,143.46126914660832,143.0,0.041423641797102284,0.9127352297592998,0.03894967177242888,0.973741794310722,0.031759586942101604,0.04768735689051596
q2,2142,74,437,136.23342670401493,137.0,0.039408661042706856,0.30946778711484596,0.03454715219421102,0.8636788048552755,0.027608425648875688,0.04315237459409415
