rank_bucket,observations,wins,rounds,mean_miners,mean_miner_share,mean_rank,win_rate,lift_vs_uniform,win_rate_ci95_lower,win_rate_ci95_upper
09-12,1748,65,437,137.67677345537757,0.039771492622854634,10.5,0.03718535469107551,0.9296338672768878,0.02928179380217033,0.04711864651552464
01-04_least,1748,65,437,132.99942791762012,0.03842085848914031,2.5,0.03718535469107551,0.9296338672768878,0.02928179380217033,0.04711864651552464
13-16,1748,80,437,139.04233409610984,0.04016830881956865,14.5,0.04576659038901602,1.1441647597254003,0.03692614476145588,0.056599132880385664
21-25_most,2185,95,437,143.43020594965674,0.041441929153812826,23.0,0.043478260869565216,1.0869565217391304,0.035698702206740526,0.05286022838165036
17-20,1748,71,437,140.51315789473685,0.04059767634566304,18.5,0.04061784897025172,1.015446224256293,0.03232656880140984,0.050923806445943756
05-08,1748,61,437,135.82894736842104,0.03923925228050705,6.5,0.03489702517162471,0.8724256292906178,0.027262871132618768,0.04457094589863711
