square_index,board_row,board_column,rounds_observed,wins,win_rate,mean_miners,median_miners,min_miners,max_miners,mean_miner_share,mean_rank_ascending,bottom4_rate,top4_rate,empty_rate,mean_neighbor_miners,mean_distance_from_center,is_corner,is_edge,is_center,expected_wins_uniform,win_rate_lift_vs_uniform,wins_minus_uniform
0,0,0,437,21,0.04805491990846682,138.7116704805492,140.0,119,158,0.04006615954242696,12.233409610983982,0.02288329519450801,0.02517162471395881,0.0,136.71281464530892,2.82842712474619,True,False,False,17.48,1.2013729977116705,3.5199999999999996
1,0,1,437,22,0.05034324942791762,134.48054919908466,135.0,115,151,0.03886938953230039,4.045766590389016,0.700228832951945,0.0,0.0,140.62700228832952,2.23606797749979,False,True,False,17.48,1.2585812356979404,4.52
2,0,2,437,20,0.04576659038901602,144.05263157894737,143.0,126,165,0.041609963382682205,22.77574370709382,0.0,0.8924485125858124,0.0,136.1304347826087,2.0,False,True,False,17.48,1.1441647597254003,2.5199999999999996
3,0,3,437,12,0.02745995423340961,138.33867276887872,139.0,121,157,0.039960552375125455,11.759725400457667,0.034324942791762014,0.02517162471395881,0.0,141.35240274599542,2.23606797749979,False,True,False,17.48,0.6864988558352402,-5.48
4,0,4,437,25,0.057208237986270026,139.20823798627003,140.0,121,155,0.040232814187347296,14.08695652173913,0.016018306636155607,0.06178489702517163,0.0,137.1933638443936,2.82842712474619,True,False,False,17.48,1.4302059496567505,7.52
5,1,0,437,19,0.043478260869565216,138.94508009153319,138.0,119,158,0.040144145584639676,13.423340961098399,0.016018306636155607,0.038901601830663615,0.0,139.95041952707857,2.23606797749979,False,True,False,17.48,1.0869565217391304,1.5199999999999996
6,1,1,437,9,0.020594965675057208,139.116704805492,140.0,120,157,0.04019118756418361,14.194508009153319,0.006864988558352402,0.05034324942791762,0.0,137.83867276887872,1.414213562373095,False,False,False,17.48,0.5148741418764302,-8.48
7,1,2,437,15,0.034324942791762014,135.5720823798627,136.0,117,156,0.03916024765624616,6.0709382151029745,0.36613272311212813,0.0,0.0,141.4187643020595,1.0,False,False,False,17.48,0.8581235697940504,-2.4800000000000004
8,1,3,437,24,0.05491990846681922,140.79633867276888,140.0,124,158,0.04068424976673071,18.066361556064074,0.0,0.2494279176201373,0.0,135.58352402745996,1.414213562373095,False,False,False,17.48,1.3729977116704803,6.52
9,1,4,437,10,0.02288329519450801,136.04805491990848,137.0,117,152,0.03932045300154865,7.576659038901602,0.2723112128146453,0.0,0.0,139.11365369946606,2.23606797749979,False,True,False,17.48,0.5720823798627002,-7.48
10,2,0,437,20,0.04576659038901602,142.0228832951945,142.0,124,160,0.04105719542382833,20.62929061784897,0.0,0.5446224256292906,0.0,139.9633867276888,2.0,False,True,False,17.48,1.1441647597254003,2.5199999999999996
11,2,1,437,16,0.036613272311212815,142.35697940503434,140.0,122,162,0.041131799599554944,20.48283752860412,0.0,0.4759725400457666,0.0,140.55491990846681,1.0,False,False,False,17.48,0.9153318077803203,-1.4800000000000004
12,2,2,437,21,0.04805491990846682,141.70938215102976,140.0,125,160,0.04095306606021582,19.919908466819223,0.0,0.43935926773455375,0.0,137.0686498855835,0.0,False,False,True,17.48,1.2013729977116705,3.5199999999999996
13,2,3,437,13,0.029748283752860413,132.37528604118992,133.0,111,151,0.038225779736101084,2.331807780320366,0.8649885583524027,0.0,0.0,139.26487414187642,1.0,False,False,False,17.48,0.7437070938215103,-4.48
14,2,4,437,19,0.043478260869565216,137.33638443935928,138.0,118,158,0.039658731995394395,9.94508009153318,0.08466819221967964,0.002288329519450801,0.0,134.37986270022884,2.0,False,True,False,17.48,1.0869565217391304,1.5199999999999996
15,3,0,437,11,0.02517162471395881,138.58810068649885,140.0,121,156,0.040040596755158746,13.755148741418765,0.009153318077803204,0.029748283752860413,0.0,140.35392829900837,2.23606797749979,False,True,False,17.48,0.6292906178489702,-6.48
16,3,1,437,18,0.041189931350114416,139.37070938215103,139.0,121,159,0.040259021403211616,15.752860411899313,0.0,0.02288329519450801,0.0,138.44107551487414,1.414213562373095,False,False,False,17.48,1.0297482837528604,0.5199999999999996
17,3,2,437,22,0.05034324942791762,137.97025171624713,137.0,119,159,0.03984881525329303,12.45766590389016,0.11670480549199085,0.020594965675057208,0.0,140.21224256292905,1.0,False,False,False,17.48,1.2585812356979404,4.52
18,3,3,437,14,0.032036613272311214,137.2173913043478,137.0,117,156,0.03961864964164437,10.395881006864988,0.10068649885583524,0.0,0.0,134.63100686498856,1.414213562373095,False,False,False,17.48,0.8009153318077803,-3.4800000000000004
19,3,4,437,20,0.04576659038901602,134.7162471395881,134.0,118,154,0.03891034782157222,5.7368421052631575,0.43478260869565216,0.0,0.0,138.8276125095347,2.23606797749979,False,True,False,17.48,1.1441647597254003,2.5199999999999996
20,4,0,437,29,0.06636155606407322,139.66819221967964,141.0,121,159,0.04033202141784955,16.62929061784897,0.006864988558352402,0.15560640732265446,0.0,136.71853546910756,2.82842712474619,True,False,False,17.48,1.6590389016018305,11.52
21,4,1,437,12,0.02745995423340961,134.84897025171625,136.0,117,152,0.03896236854089107,5.665903890160183,0.32723112128146453,0.0,0.0,140.5301296720061,2.23606797749979,False,True,False,17.48,0.6864988558352402,-5.48
22,4,2,437,19,0.043478260869565216,142.55148741418765,142.0,122,165,0.041162006002679455,21.74141876430206,0.0,0.540045766590389,0.0,135.4271548436308,2.0,False,True,False,17.48,1.0869565217391304,1.5199999999999996
23,4,3,437,13,0.029748283752860413,133.46224256292905,135.0,118,150,0.03856701509167224,4.450800915331808,0.620137299771167,0.0,0.0,140.56598016781084,2.23606797749979,False,True,False,17.48,0.7437070938215103,-4.48
24,4,4,437,13,0.029748283752860413,141.92906178489702,144.0,125,159,0.041033422663700865,20.871853546910756,0.0,0.425629290617849,0.0,134.08924485125857,2.82842712474619,True,False,False,17.48,0.7437070938215103,-4.48
