neighbor_bucket,observations,wins,rounds,mean_neighbor_miners,mean_square_miners,mean_miner_share,win_rate,lift_vs_uniform,win_rate_ci95_lower,win_rate_ci95_upper
q1_least,2106,84,437,134.51333491611268,139.88081671415006,0.040438570161567634,0.039886039886039885,0.9971509971509971,0.03233170134254577,0.04911586814295752
q4,2207,96,437,139.93059960731006,137.1250566379701,0.03962682214201951,0.04349796103307658,1.0874490258269145,0.03575173898408972,0.052830577961042915
q2,2181,95,437,136.75,140.18294360385144,0.04045675867580129,0.04355800091701054,1.0889500229252635,0.035764413844928386,0.052956650119741794
q5_most,2261,73,437,141.39727996461744,137.31578947368422,0.039683142517872236,0.03228659885006634,0.8071649712516585,0.02575709910472364,0.040402701280914284
q3,2170,89,437,138.53644393241166,137.8778801843318,0.03982497643662178,0.041013824884792625,1.0253456221198156,0.033448634060142604,0.050201191497670994
