geometry,rows,unique_squares,rounds,wins,row_win_rate,mean_miners,median_miners,mean_miner_share,mean_rank_ascending,bottom4_rate,top4_rate,empty_rate,mean_neighbor_miners,mean_distance_from_center,uniform_win_share,observed_win_share,win_share_lift_vs_uniform
corner,1748,4,437,88,0.05034324942791762,139.87929061784897,141.0,0.04041610445283117,15.95537757437071,0.011441647597254004,0.16704805491990846,0.0,136.17848970251717,2.82842712474619,0.16,0.20137299771167047,1.2585812356979404
edge,5244,12,437,197,0.03756674294431731,137.94927536231884,138.0,0.03985523045895774,11.79214340198322,0.20823798627002288,0.17276887871853547,0.0,138.9351639969489,2.1573786516665265,0.48,0.45080091533180777,0.9391685736079329
interior,3496,8,437,131,0.03747139588100686,138.09696796338673,138.0,0.03988996882762069,12.469107551487415,0.18192219679633867,0.10240274599542334,0.0,138.49313501144164,1.2071067811865475,0.32,0.2997711670480549,0.9367848970251715
center,437,1,437,21,0.04805491990846682,141.70938215102976,140.0,0.04095306606021582,19.919908466819223,0.0,0.43935926773455375,0.0,137.0686498855835,0.0,0.04,0.04805491990846682,1.2013729977116705
