geometry,rank_group,observations,wins,rounds,mean_miners,mean_miner_share,mean_rank,win_rate,lift_vs_uniform,win_rate_ci95_lower,win_rate_ci95_upper
corner,rank05_12,488,24,326,138.12295081967213,0.03971118559922142,9.559426229508198,0.04918032786885246,1.2295081967213115,0.03326886750992282,0.07213391603133505
edge,bottom4_least,1092,43,437,134.05311355311355,0.03845661553838398,2.5750915750915753,0.039377289377289376,0.9844322344322344,0.029364082903146176,0.052619910399478394
edge,rank13_21,1352,52,436,139.30769230769232,0.040444671635496865,16.88609467455621,0.038461538461538464,0.9615384615384616,0.029449775738924704,0.05008862317867017
corner,rank13_21,887,51,424,140.14430665163474,0.04043050568140121,16.731679819616687,0.05749718151071026,1.4374295377677564,0.04400004128673875,0.07481061550600666
edge,rank05_12,1941,63,437,136.26429675425038,0.0394503084525305,8.20504894384338,0.03245749613601236,0.8114374034003091,0.025451160723232814,0.04131081528864577
interior,rank05_12,1036,39,430,136.89478764478764,0.039504897396415536,8.53088803088803,0.037644787644787646,0.9411196911196912,0.027658737400919675,0.0510469711726856
interior,rank13_21,1494,64,435,140.35006693440428,0.04044527640238408,17.120481927710845,0.0428380187416332,1.07095046854083,0.03368898516178146,0.05433198531162082
center,rank13_21,200,10,200,141.39,0.0405562223614727,18.06,0.05,1.25,0.02738264560076393,0.08957814813877599
interior,bottom4_least,636,21,406,131.13050314465409,0.03834062195429376,2.3364779874213837,0.0330188679245283,0.8254716981132075,0.021696210990618074,0.04994881636535465
edge,top4_most,859,39,437,144.57159487776485,0.04162044191071665,23.59720605355064,0.04540162980209546,1.1350407450523865,0.03338803399533611,0.061463062905539025
corner,top4_most,353,12,286,141.92351274787535,0.04143352001007035,23.546742209631727,0.0339943342776204,0.8498583569405099,0.019551237644944965,0.05847069095243788
center,rank05_12,31,0,31,141.03225806451613,0.03972906805186986,9.258064516129032,0.0,0.0,0.0,0.11025539546043596
interior,top4_most,330,7,264,145.0969696969697,0.04157084488055389,23.303030303030305,0.021212121212121213,0.5303030303030303,0.010312323029188917,0.04313058631981663
center,top4_most,206,11,206,142.12135922330097,0.04152254507966898,23.33009708737864,0.05339805825242718,1.3349514563106795,0.030074965702630567,0.09307257132805316
corner,bottom4_least,20,1,20,134.9,0.03902004540855608,3.6,0.05,1.25,0.008881448800795402,0.23613119344674205
