congestion_bucket,observations,wins,rounds,mean_miners,median_miners,mean_miner_share,mean_percentile,win_rate,lift_vs_uniform,win_rate_ci95_lower,win_rate_ci95_upper
q1_least,3973,144,844,135.87566070979108,136.0,0.038736910772107266,0.11798640825572615,0.03624465139692927,0.9061162849232317,0.03086659956910043,0.042518638902849556
q2,4266,192,844,138.48007501172057,139.0,0.039445880447720634,0.31021097046413504,0.0450070323488045,1.1251758087201125,0.03918446357617268,0.05164829041741792
q3,4244,181,842,140.38407163053722,141.0,0.039998172845104846,0.5118473138548539,0.04264844486333647,1.0662111215834118,0.03697151421001977,0.04915257077931521
q5_most,4333,163,844,144.53634894991922,145.0,0.0411926913143452,0.9130856219709209,0.03761827832910224,0.9404569582275559,0.032350209970204546,0.04370547755091296
q4,4284,164,842,142.20541549953316,142.0,0.04051866258000885,0.7122315592903827,0.03828197945845005,0.9570494864612512,0.032937608006450396,0.04445365330943841
