rank_bucket,observations,wins,rounds,mean_miners,mean_miner_share,mean_rank,win_rate,lift_vs_uniform,win_rate_ci95_lower,win_rate_ci95_upper
01-04_least,3376,134,844,135.7550355450237,0.038683933760154256,2.5,0.039691943127962086,0.9922985781990521,0.033612382434438176,0.046817857306909336
05-08,3376,128,844,137.9383886255924,0.0393058931372285,6.5,0.037914691943127965,0.9478672985781991,0.03197962270688604,0.044900154639640415
13-16,3376,129,844,140.99822274881515,0.04017833921106076,14.5,0.03821090047393365,0.9552725118483412,0.03225149353233953,0.0452200275466571
17-20,3376,132,844,142.4324644549763,0.04058731085019177,18.5,0.03909952606635071,0.9774881516587678,0.033067724370711656,0.04617902790569551
21-25_most,4220,157,844,144.55379146919432,0.04119191746366786,23.0,0.037203791469194315,0.9300947867298579,0.03190157239556151,0.043347809457287716
09-12,3376,164,844,139.51303317535545,0.0397546262117796,10.5,0.0485781990521327,1.2144549763033177,0.04182532170229973,0.05635723001315304
