geometry,rows,unique_squares,rounds,wins,row_win_rate,mean_miners,median_miners,mean_miner_share,mean_rank_ascending,bottom4_rate,top4_rate,empty_rate,mean_neighbor_miners,mean_distance_from_center,uniform_win_share,observed_win_share,win_share_lift_vs_uniform
corner,3376,4,844,127,0.037618483412322275,140.51688388625593,141.0,0.040043022175127486,13.412618483412322,0.08264218009478673,0.0740521327014218,0.0,138.58249407582937,2.8284271247461903,0.16,0.1504739336492891,0.9404620853080569
edge,10128,12,844,423,0.0417654028436019,139.6695300157978,140.0,0.0397985186911302,11.394944707740915,0.2139612954186414,0.1240126382306477,0.0,140.54551737756714,2.1573786516665265,0.48,0.5011848341232228,1.0441350710900474
interior,6752,8,844,265,0.039247630331753554,140.87662914691944,141.0,0.040144212870374854,14.08027251184834,0.13773696682464456,0.19979265402843602,0.0,140.83971415876778,1.2071067811865477,0.32,0.31398104265402843,0.9811907582938388
center,844,1,844,29,0.034360189573459717,144.20260663507108,144.0,0.041091984042927646,21.968009478672986,0.0,0.6172985781990521,0.0,140.48281990521326,0.0,0.04,0.034360189573459717,0.8590047393364929
