square_index,board_row,board_column,wins,win_rate,win_rate_lift_vs_uniform,mean_miners,mean_miner_share
0,0,0,28,0.03317535545023697,0.8293838862559242,141.03554502369667,0.04018887973511139
1,0,1,38,0.045023696682464455,1.1255924170616114,137.5260663507109,0.03919078786563196
2,0,2,30,0.035545023696682464,0.8886255924170616,143.44549763033174,0.04087208533540969
3,0,3,43,0.0509478672985782,1.2736966824644549,141.25829383886256,0.04024924088596108
4,0,4,30,0.035545023696682464,0.8886255924170616,138.8850710900474,0.039585534931354104
5,1,0,38,0.045023696682464455,1.1255924170616114,139.51895734597156,0.03975553867067159
6,1,1,28,0.03317535545023697,0.8293838862559242,138.66943127962085,0.03951995223028921
7,1,2,30,0.035545023696682464,0.8886255924170616,138.3009478672986,0.03940627984647843
8,1,3,36,0.04265402843601896,1.066350710900474,143.22511848341233,0.04081238062329827
9,1,4,35,0.041469194312796206,1.0367298578199051,137.30331753554503,0.03912043353275822
10,2,0,43,0.0509478672985782,1.2736966824644549,143.78317535545023,0.040976769456747934
11,2,1,33,0.03909952606635071,0.9774881516587678,143.64454976303318,0.04093278861402863
12,2,2,29,0.034360189573459717,0.8590047393364929,144.20260663507108,0.041091984042927646
13,2,3,32,0.037914691943127965,0.9478672985781991,137.13625592417063,0.039077913617383754
14,2,4,32,0.037914691943127965,0.9478672985781991,139.01777251184834,0.03961456934501822
15,3,0,32,0.037914691943127965,0.9478672985781991,141.85663507109004,0.04041885104681271
16,3,1,32,0.037914691943127965,0.9478672985781991,141.51184834123222,0.040330870085916876
17,3,2,42,0.04976303317535545,1.2440758293838863,142.8495260663507,0.0407040163249068
18,3,3,32,0.037914691943127965,0.9478672985781991,141.67535545023696,0.04036950162069691
19,3,4,48,0.05687203791469194,1.4218009478672984,137.56398104265404,0.039193091142862395
20,4,0,36,0.04265402843601896,1.066350710900474,140.11137440758293,0.03992371009607124
21,4,1,28,0.03317535545023697,0.8293838862559242,137.83056872037915,0.03927418761790268
22,4,2,30,0.035545023696682464,0.8886255924170616,141.12796208530807,0.04021713664847052
23,4,3,26,0.030805687203791468,0.7701421800947866,135.8021327014218,0.03869953274531541
24,4,4,33,0.03909952606635071,0.9774881516587678,142.03554502369667,0.040473963937973194
