square_index,board_row,board_column,rounds_observed,wins,win_rate,mean_miners,median_miners,min_miners,max_miners,mean_miner_share,mean_rank_ascending,bottom4_rate,top4_rate,empty_rate,mean_neighbor_miners,mean_distance_from_center,is_corner,is_edge,is_center,expected_wins_uniform,win_rate_lift_vs_uniform,wins_minus_uniform
0,0,0,901,30,0.033296337402885685,140.82907880133186,141.0,120,157,0.040184061685541686,13.163152053274139,0.042175360710321866,0.1076581576026637,0.0,138.35072142064374,2.8284271247461903,True,False,False,36.04,0.8324084350721421,-6.039999999999999
1,0,1,901,41,0.04550499445061043,137.2819089900111,138.0,119,151,0.03917497747333267,4.992230854605993,0.5183129855715871,0.0,0.0,140.9607843137255,2.23606797749979,False,True,False,36.04,1.1376248612652609,4.960000000000001
2,0,2,901,30,0.033296337402885685,143.41509433962264,144.0,127,163,0.04091980992849972,19.78801331853496,0.0,0.5571587125416204,0.0,138.77247502774694,2.0,False,True,False,36.04,0.8324084350721421,-6.039999999999999
3,0,3,901,45,0.049944506104328525,141.00221975582687,141.0,121,157,0.040230297787280836,14.237513873473917,0.01997780244173141,0.10987791342952276,0.0,141.75360710321866,2.23606797749979,False,True,False,36.04,1.248612652608213,8.96
4,0,4,901,34,0.03773584905660377,138.842397336293,139.0,121,154,0.03962835371900612,9.589345172031077,0.22641509433962265,0.02885682574916759,0.0,139.07713651498335,2.8284271247461903,True,False,False,36.04,0.9433962264150942,-2.039999999999999
5,1,0,901,41,0.04550499445061043,139.41953385127636,140.0,119,158,0.03978196805639084,10.27746947835738,0.07769145394006659,0.011098779134295227,0.0,141.02663706992232,2.23606797749979,False,True,False,36.04,1.1376248612652609,4.960000000000001
6,1,1,901,30,0.033296337402885685,138.63817980022196,138.0,121,157,0.039565503407726674,8.718091009988902,0.2563817980022198,0.01220865704772475,0.0,139.5552164261931,1.4142135623730951,False,False,False,36.04,0.8324084350721421,-6.039999999999999
7,1,2,901,33,0.03662597114317425,138.03329633740287,138.0,117,155,0.03938289401656176,7.3152053274139845,0.27968923418423974,0.003329633740288568,0.0,142.2602663706992,1.0,False,False,False,36.04,0.9156492785793563,-3.039999999999999
8,1,3,901,39,0.04328523862375139,143.0033296337403,143.0,125,160,0.0408052121205446,19.362930077691455,0.0,0.4594894561598224,0.0,138.23723640399555,1.4142135623730951,False,False,False,36.04,1.0821309655937847,2.960000000000001
9,1,4,901,36,0.03995560488346282,137.15205327413983,138.0,120,152,0.03913209352680657,5.829078801331853,0.44728079911209767,0.0,0.0,140.2253052164262,2.23606797749979,False,True,False,36.04,0.9988901220865706,-0.03999999999999915
10,2,0,901,44,0.048834628190899,143.6126526082131,144.0,125,160,0.04098559031554382,20.997780244173143,0.0,0.58157602663707,0.0,141.4975952645209,2.0,False,True,False,36.04,1.2208657047724751,7.960000000000001
