geometry,rows,unique_squares,rounds,wins,row_win_rate,mean_miners,median_miners,mean_miner_share,mean_rank_ascending,bottom4_rate,top4_rate,empty_rate,mean_neighbor_miners,mean_distance_from_center,uniform_win_share,observed_win_share,win_share_lift_vs_uniform
corner,3604,4,901,136,0.03773584905660377,140.4120421753607,141.0,0.040068350298028355,13.580188679245284,0.07796892341842397,0.0804661487236404,0.0,138.36237513873473,2.8284271247461903,0.16,0.1509433962264151,0.9433962264150942
edge,10812,12,901,446,0.041250462449130595,139.49232334443212,140.0,0.039802353411098765,11.422493525712172,0.21300406955234924,0.12680355160932297,0.0,140.3746762856086,2.1573786516665265,0.48,0.49500554938956715,1.031261561228265
interior,7208,8,901,284,0.039400665926748055,140.62583240843506,141.0,0.04012648643579378,13.971281908990012,0.14150943396226415,0.1938124306326304,0.0,140.62059517203107,1.2071067811865475,0.32,0.31520532741398444,0.9850166481687014
center,901,1,901,35,0.038845726970033294,143.98446170921198,144.0,0.04108646638834996,21.83906770255272,0.0,0.6059933407325194,0.0,140.18451720310765,0.0,0.04,0.038845726970033294,0.9711431742508323
