rank_bucket,observations,wins,rounds,mean_miners,mean_miner_share,mean_rank,win_rate,lift_vs_uniform,win_rate_ci95_lower,win_rate_ci95_upper
01-04_least,3604,140,901,135.50749167591565,0.038665400496873635,2.5,0.038845726970033294,0.9711431742508323,0.03301254378511372,0.04566094064052239
05-08,3604,140,901,137.730577136515,0.039299881248431874,6.5,0.038845726970033294,0.9711431742508323,0.03301254378511372,0.04566094064052239
13-16,3604,141,901,140.80965593784683,0.040179055553875284,14.5,0.03912319644839068,0.9780799112097669,0.033268240780539776,0.0459595917290761
17-20,3604,141,901,142.242230854606,0.04058840535489669,18.5,0.03912319644839068,0.9780799112097669,0.033268240780539776,0.0459595917290761
21-25_most,4505,169,901,144.41642619311875,0.041209595498838104,23.0,0.037513873473917866,0.9378468368479467,0.032347555573547196,0.043468252532090676
09-12,3604,170,901,139.3263041065483,0.0397552629723746,10.5,0.04716981132075472,1.179245283018868,0.040717442006592136,0.05458648493843685
