congestion_bucket,observations,wins,rounds,mean_miners,median_miners,mean_miner_share,mean_percentile,win_rate,lift_vs_uniform,win_rate_ci95_lower,win_rate_ci95_upper
q1_least,4239,151,901,135.65204057560746,136.0,0.038719551395398295,0.11786742156168907,0.035621608870016516,0.8905402217504129,0.03044923562336592,0.04163487635420096
q2,4550,205,901,138.24593406593408,138.0,0.039441416317222595,0.31013626373626374,0.045054945054945054,1.1263736263736264,0.039402029218681835,0.05147541185232692
q3,4533,194,899,140.22964923891462,141.0,0.03999940780933634,0.5117229208030002,0.042797264504743,1.069931612618575,0.03728214188266914,0.049086637449229614
q5_most,4635,174,901,144.38770226537216,145.0,0.041209454058111376,0.9129665587918016,0.037540453074433655,0.9385113268608414,0.03244006722268675,0.043406771248516524
q4,4568,177,899,141.9989054290718,142.0,0.0405180039913474,0.7116900175131349,0.038747810858143605,0.9686952714535901,0.03352767871555049,0.044743071056467916
