neighbor_bucket,observations,wins,rounds,mean_neighbor_miners,mean_square_miners,mean_miner_share,win_rate,lift_vs_uniform,win_rate_ci95_lower,win_rate_ci95_upper
q1_least,4369,173,901,137.1379034103914,140.78965438315404,0.04017909943200727,0.03959716182192721,0.9899290455481803,0.03420752151266554,0.045795712566404495
q2,4483,162,901,138.99319652018738,140.69953156368504,0.04014102400194474,0.03613651572607629,0.9034128931519072,0.031058405762101927,0.04200890937028139
q5_most,4664,197,901,142.55610348770725,139.99035162950258,0.03994756654354563,0.04223842195540309,1.0559605488850772,0.03683290045110759,0.04839738475253914
q4,4538,184,901,141.37779124430733,139.57293962097842,0.0398337014682363,0.040546496253856326,1.0136624063464081,0.035185797660517215,0.04668440018589641
q3,4471,185,901,140.36511220457763,139.8868262133751,0.0399070714289617,0.04137776783717289,1.0344441959293222,0.0359228636976647,0.0476200868763243
